iso_639_3,cv_locale,source,category,hours,validated_hours_only,clips,speakers,license_tier,license,corpus_version,source_type,who_transcribed,transcript_exists
ltg,ltg,common_voice_scripted,transcribed,33.74,30.32,25363,389,A,CC0-1.0,26.0,website text,human volunteer,True
lth,lth,common_voice_spontaneous,transcribed,9.13,9.13,3126,29,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
lth,lth,common_voice_spontaneous,untranscribed,6.229999999999999,,3126,29,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
lua,lua,common_voice_scripted,transcribed,10.4,8.88,5622,46,A,CC0-1.0,26.0,website text,human volunteer,True
lug,lg,common_voice_scripted,transcribed,560.5,436.94,348837,672,A,CC0-1.0,26.0,website text,human volunteer,True
luo,luo,common_voice_scripted,transcribed,111.57,27.53,82420,47,A,CC0-1.0,26.0,website text,human volunteer,True
lzz,lzz,common_voice_scripted,transcribed,50.78,48.72,38480,162,A,CC0-1.0,26.0,website text,human volunteer,True
mal,ml,common_voice_scripted,transcribed,11.39,4.1,9670,157,A,CC0-1.0,26.0,website text,human volunteer,True
mar,mr,common_voice_scripted,transcribed,27.72,18.94,16096,106,A,CC0-1.0,26.0,website text,human volunteer,True
mau,mau,common_voice_scripted,transcribed,10.82,10.42,6269,7,A,CC0-1.0,26.0,website text,human volunteer,True
mbo,mbo,common_voice_scripted,transcribed,12.07,10.88,7882,13,A,CC0-1.0,26.0,website text,human volunteer,True
mcf,mcf,common_voice_scripted,transcribed,10.32,10.24,13990,21,A,CC0-1.0,26.0,website text,human volunteer,True
mcn,mcn,common_voice_scripted,transcribed,10.84,10.09,9260,35,A,CC0-1.0,26.0,website text,human volunteer,True
mcx,mcx,common_voice_scripted,transcribed,10.2,10.08,5560,10,A,CC0-1.0,26.0,website text,human volunteer,True
mdd,mdd,common_voice_scripted,transcribed,10.04,10.0,5567,7,A,CC0-1.0,26.0,website text,human volunteer,True
mdf,mdf,common_voice_scripted,transcribed,0.5,0.49,345,11,A,CC0-1.0,26.0,website text,human volunteer,True
meh,meh,common_voice_spontaneous,transcribed,10.05,10.05,1057,16,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
meh,meh,common_voice_spontaneous,untranscribed,0.09999999999999964,,1057,16,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
mel,mel,common_voice_spontaneous,transcribed,0.15,0.15,1624,35,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
mel,mel,common_voice_spontaneous,untranscribed,10.17,,1624,35,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
mgg,mgg,common_voice_scripted,transcribed,10.85,10.23,5158,9,A,CC0-1.0,26.0,website text,human volunteer,True
mhk,mhk,common_voice_scripted,transcribed,11.43,11.26,6695,9,A,CC0-1.0,26.0,website text,human volunteer,True
mhr,mhr,common_voice_scripted,transcribed,301.42,280.85,234770,500,A,CC0-1.0,26.0,website text,human volunteer,True
mkd,mk,common_voice_scripted,transcribed,55.04,25.69,41227,468,A,CC0-1.0,26.0,website text,human volunteer,True
mki,mki,common_voice_scripted,transcribed,10.04,9.92,11325,12,A,CC0-1.0,26.0,website text,human volunteer,True
mlt,mt,common_voice_scripted,transcribed,17.6,8.75,13352,225,A,CC0-1.0,26.0,website text,human volunteer,True
mmc,mmc,common_voice_spontaneous,transcribed,11.23,11.23,871,12,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
mmc,mmc,common_voice_spontaneous,untranscribed,0.0,,871,12,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
mnw,mnw,common_voice_spontaneous,transcribed,0.0,0.0,9,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
mnw,mnw,common_voice_spontaneous,untranscribed,0.01,,9,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
mon,mn,common_voice_scripted,transcribed,130.34,45.85,95918,612,A,CC0-1.0,26.0,website text,human volunteer,True
mrj,mrj,common_voice_scripted,transcribed,36.91,33.74,31693,60,A,CC0-1.0,26.0,website text,human volunteer,True
msa,ms,common_voice_scripted,transcribed,3.65,0.06,2132,29,A,CC0-1.0,26.0,website text,human volunteer,True
mse,mse,common_voice_scripted,transcribed,8.15,7.72,4577,18,A,CC0-1.0,26.0,website text,human volunteer,True
msi,msi,common_voice_spontaneous,transcribed,0.01,0.01,2277,33,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
msi,msi,common_voice_spontaneous,untranscribed,13.53,,2277,33,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
mua,mua,common_voice_scripted,transcribed,9.67,9.65,8694,17,A,CC0-1.0,26.0,website text,human volunteer,True
mug,mug,common_voice_scripted,transcribed,5.58,5.42,2764,18,A,CC0-1.0,26.0,website text,human volunteer,True
mve,mve,common_voice_scripted,transcribed,10.12,10.06,7690,20,A,CC0-1.0,26.0,website text,human volunteer,True
mvy,mvy,common_voice_scripted,transcribed,24.6,22.1,18485,57,A,CC0-1.0,26.0,website text,human volunteer,True
mxu,mxu,common_voice_scripted,transcribed,12.35,12.34,7758,22,A,CC0-1.0,26.0,website text,human volunteer,True
myv,myv,common_voice_scripted,transcribed,3.22,3.16,2010,13,A,CC0-1.0,26.0,website text,human volunteer,True
nbl,nr,common_voice_scripted,transcribed,0.01,0.0,7,2,A,CC0-1.0,26.0,website text,human volunteer,True
ncx,ncx,common_voice_scripted,transcribed,11.77,10.7,9509,41,A,CC0-1.0,26.0,website text,human volunteer,True
nep,ne-NP,common_voice_scripted,transcribed,2.0,1.38,1739,63,A,CC0-1.0,26.0,website text,human volunteer,True
nhi,nhi,common_voice_scripted,transcribed,0.6,0.05,427,6,A,CC0-1.0,26.0,website text,human volunteer,True
nla,nla,common_voice_scripted,transcribed,9.19,8.92,4775,15,A,CC0-1.0,26.0,website text,human volunteer,True
nld,nl,common_voice_scripted,transcribed,141.04,126.36,116112,1884,A,CC0-1.0,26.0,website text,human volunteer,True
nld,nl,common_voice_spontaneous,transcribed,0.0,0.0,26,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
nld,nl,common_voice_spontaneous,untranscribed,0.15,,26,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
nlv,nlv,common_voice_scripted,transcribed,11.92,11.61,6844,16,A,CC0-1.0,26.0,website text,human volunteer,True
nmg,nmg,common_voice_scripted,transcribed,10.59,10.42,5959,11,A,CC0-1.0,26.0,website text,human volunteer,True
nmz,nmz,common_voice_scripted,transcribed,11.55,11.21,14117,35,A,CC0-1.0,26.0,website text,human volunteer,True
nnh,nnh,common_voice_scripted,transcribed,18.92,18.89,7643,17,A,CC0-1.0,26.0,website text,human volunteer,True
nno,nn-NO,common_voice_scripted,transcribed,1.92,1.61,1558,41,A,CC0-1.0,26.0,website text,human volunteer,True
nob,nb-NO,common_voice_scripted,transcribed,2.6,2.34,2237,67,A,CC0-1.0,26.0,website text,human volunteer,True
nso,nso,common_voice_scripted,transcribed,0.19,0.02,124,2,A,CC0-1.0,26.0,website text,human volunteer,True
nyu,nyu,common_voice_scripted,transcribed,9.27,9.15,3684,5,A,CC0-1.0,26.0,website text,human volunteer,True
oci,oc,common_voice_scripted,transcribed,13.37,2.68,9885,149,A,CC0-1.0,26.0,website text,human volunteer,True
odk,odk,common_voice_scripted,transcribed,11.29,11.21,6387,20,A,CC0-1.0,26.0,website text,human volunteer,True
ori,or,common_voice_scripted,transcribed,37.29,6.29,24238,164,A,CC0-1.0,26.0,website text,human volunteer,True
orm,om,common_voice_scripted,transcribed,26.12,25.88,18610,35,A,CC0-1.0,26.0,website text,human volunteer,True
orm,om,common_voice_spontaneous,transcribed,0.2,0.2,15,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
orm,om,common_voice_spontaneous,untranscribed,0.0,,15,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
oru,oru,common_voice_scripted,transcribed,34.89,21.04,18306,17,A,CC0-1.0,26.0,website text,human volunteer,True
oss,os,common_voice_scripted,transcribed,1.48,1.41,966,39,A,CC0-1.0,26.0,website text,human volunteer,True
pan,pa-IN,common_voice_scripted,transcribed,4.36,2.44,3268,75,A,CC0-1.0,26.0,website text,human volunteer,True
pcm,pcm,common_voice_scripted,transcribed,14.45,12.5,8964,60,A,CC0-1.0,26.0,website text,human volunteer,True
phl,phl,common_voice_scripted,transcribed,28.9,21.26,21142,20,A,CC0-1.0,26.0,website text,human volunteer,True
phr,phr,common_voice_scripted,transcribed,14.11,13.97,12825,63,A,CC0-1.0,26.0,website text,human volunteer,True
plk,plk,common_voice_scripted,transcribed,16.66,12.58,11935,10,A,CC0-1.0,26.0,website text,human volunteer,True
pne,pne,common_voice_spontaneous,transcribed,12.13,12.13,2595,24,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
pne,pne,common_voice_spontaneous,untranscribed,0.0,,2595,24,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
pol,pl,common_voice_scripted,transcribed,188.92,176.89,148736,3470,A,CC0-1.0,26.0,website text,human volunteer,True
por,pt,common_voice_scripted,transcribed,229.32,188.02,197095,3843,A,CC0-1.0,26.0,website text,human volunteer,True
prq,prq,common_voice_scripted,transcribed,10.05,9.74,7660,13,A,CC0-1.0,26.0,website text,human volunteer,True
pua,pua,common_voice_scripted,transcribed,11.09,10.22,8176,9,A,CC0-1.0,26.0,website text,human volunteer,True
pus,ps,common_voice_scripted,transcribed,5521.62,3261.0,5193154,8355,A,CC0-1.0,26.0,website text,human volunteer,True
pus,ps,common_voice_spontaneous,transcribed,0.77,0.77,965,73,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
pus,ps,common_voice_spontaneous,untranscribed,10.72,,965,73,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
pwn,pwn,common_voice_scripted,transcribed,14.8,14.61,10938,27,A,CC0-1.0,26.0,website text,human volunteer,True
qup,qup,common_voice_scripted,transcribed,15.92,11.86,9668,15,A,CC0-1.0,26.0,website text,human volunteer,True
qur,qur,common_voice_scripted,transcribed,10.09,10.03,10476,12,A,CC0-1.0,26.0,website text,human volunteer,True
qus,qus,common_voice_scripted,transcribed,11.28,10.75,10832,24,A,CC0-1.0,26.0,website text,human volunteer,True
qux,qux,common_voice_scripted,transcribed,12.99,9.78,8174,15,A,CC0-1.0,26.0,website text,human volunteer,True
quy,quy,common_voice_scripted,transcribed,1.7,0.05,1229,8,A,CC0-1.0,26.0,website text,human volunteer,True
qva,qva,common_voice_scripted,transcribed,9.83,9.79,8254,13,A,CC0-1.0,26.0,website text,human volunteer,True
qvi,qvi,common_voice_scripted,transcribed,12.53,11.39,10196,15,A,CC0-1.0,26.0,website text,human volunteer,True
qvj,qvj,common_voice_scripted,transcribed,11.17,10.84,6746,16,A,CC0-1.0,26.0,website text,human volunteer,True
qvl,qvl,common_voice_scripted,transcribed,10.0,9.98,9097,19,A,CC0-1.0,26.0,website text,human volunteer,True
qwa,qwa,common_voice_scripted,transcribed,11.5,9.92,8363,13,A,CC0-1.0,26.0,website text,human volunteer,True
qws,qws,common_voice_scripted,transcribed,10.38,10.26,8977,12,A,CC0-1.0,26.0,website text,human volunteer,True
qxa,qxa,common_voice_scripted,transcribed,10.51,10.08,8719,18,A,CC0-1.0,26.0,website text,human volunteer,True
qxp,qxp,common_voice_scripted,transcribed,34.88,31.18,25423,81,A,CC0-1.0,26.0,website text,human volunteer,True
qxp,qxp,common_voice_spontaneous,transcribed,5.18,5.18,7305,110,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
qxp,qxp,common_voice_spontaneous,untranscribed,30.229999999999997,,7305,110,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
qxt,qxt,common_voice_scripted,transcribed,13.26,10.3,11128,16,A,CC0-1.0,26.0,website text,human volunteer,True
qxu,qxu,common_voice_scripted,transcribed,12.65,10.14,10882,16,A,CC0-1.0,26.0,website text,human volunteer,True
qxw,qxw,common_voice_scripted,transcribed,13.49,11.69,9252,14,A,CC0-1.0,26.0,website text,human volunteer,True
rki,rki,common_voice_spontaneous,transcribed,0.12,0.12,194,14,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
rki,rki,common_voice_spontaneous,untranscribed,0.48,,194,14,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
rof,rof,common_voice_scripted,transcribed,11.24,10.36,10365,24,A,CC0-1.0,26.0,website text,human volunteer,True
roh,rm-sursilv,common_voice_scripted,transcribed,11.89,7.92,7963,93,A,CC0-1.0,26.0,website text,human volunteer,True
roh,rm-vallader,common_voice_scripted,transcribed,4.33,2.48,2676,55,A,CC0-1.0,26.0,website text,human volunteer,True
ron,ro,common_voice_scripted,transcribed,51.66,24.87,45652,464,A,CC0-1.0,26.0,website text,human volunteer,True
ruc,ruc,common_voice_spontaneous,transcribed,10.14,10.14,2822,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
ruc,ruc,common_voice_spontaneous,untranscribed,7.609999999999999,,2822,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
rup,rup,common_voice_scripted,transcribed,0.33,0.05,172,9,A,CC0-1.0,26.0,website text,human volunteer,True
rus,ru,common_voice_scripted,transcribed,291.58,253.69,202634,3744,A,CC0-1.0,26.0,website text,human volunteer,True
rus,ru,common_voice_spontaneous,transcribed,2.4,2.4,552,17,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
rus,ru,common_voice_spontaneous,untranscribed,1.0,,552,17,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
rwm,rwm,common_voice_spontaneous,transcribed,10.13,10.13,2426,21,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
rwm,rwm,common_voice_spontaneous,untranscribed,3.4799999999999986,,2426,21,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
sah,sah,common_voice_scripted,transcribed,23.35,16.34,13278,255,A,CC0-1.0,26.0,website text,human volunteer,True
sat,sat,common_voice_scripted,transcribed,1.06,0.66,854,14,A,CC0-1.0,26.0,website text,human volunteer,True
sbn,sbn,common_voice_scripted,transcribed,10.75,10.72,10986,21,A,CC0-1.0,26.0,website text,human volunteer,True
scl,scl,common_voice_scripted,transcribed,10.2,10.03,9022,40,A,CC0-1.0,26.0,website text,human volunteer,True
sco,sco,common_voice_spontaneous,transcribed,10.68,10.68,715,21,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
sco,sco,common_voice_spontaneous,untranscribed,0.4900000000000002,,715,21,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
sdo,sdo,common_voice_spontaneous,transcribed,1.32,1.32,1389,25,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
sdo,sdo,common_voice_spontaneous,untranscribed,8.49,,1389,25,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
seh,seh,common_voice_spontaneous,transcribed,0.0,0.0,290,5,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
seh,seh,common_voice_spontaneous,untranscribed,1.62,,290,5,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
sei,sei,common_voice_scripted,transcribed,10.46,10.08,8310,17,A,CC0-1.0,26.0,website text,human volunteer,True
shi,shi,common_voice_spontaneous,transcribed,0.01,0.01,328,16,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
shi,shi,common_voice_spontaneous,untranscribed,2.7100000000000004,,328,16,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
sin,si,common_voice_spontaneous,transcribed,0.0,0.0,59,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
sin,si,common_voice_spontaneous,untranscribed,0.4,,59,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
skr,skr,common_voice_scripted,transcribed,6.75,4.34,5837,60,A,CC0-1.0,26.0,website text,human volunteer,True
slk,sk,common_voice_scripted,transcribed,58.32,56.66,48858,272,A,CC0-1.0,26.0,website text,human volunteer,True
slv,sl,common_voice_scripted,transcribed,21.61,17.33,19526,1003,A,CC0-1.0,26.0,website text,human volunteer,True
sna,sn,common_voice_spontaneous,transcribed,0.0,0.0,6,2,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
sna,sn,common_voice_spontaneous,untranscribed,0.07,,6,2,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
snd,sd,common_voice_scripted,transcribed,57.79,0.36,51475,33,A,CC0-1.0,26.0,website text,human volunteer,True
snv,snv,common_voice_spontaneous,transcribed,0.02,0.02,2036,30,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
snv,snv,common_voice_spontaneous,untranscribed,10.450000000000001,,2036,30,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
sot,st,common_voice_scripted,transcribed,0.18,0.01,209,2,A,CC0-1.0,26.0,website text,human volunteer,True
spa,es,common_voice_scripted,transcribed,2278.66,595.45,1680810,26940,A,CC0-1.0,26.0,website text,human volunteer,True
spa,es,common_voice_spontaneous,transcribed,0.07,0.07,403,16,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
spa,es,common_voice_spontaneous,untranscribed,1.14,,403,16,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
sqi,sq,common_voice_scripted,transcribed,9.26,9.0,6553,155,A,CC0-1.0,26.0,website text,human volunteer,True
srd,sc,common_voice_scripted,transcribed,3.74,3.04,2854,50,A,CC0-1.0,26.0,website text,human volunteer,True
srp,sr,common_voice_scripted,transcribed,12.74,7.61,14069,185,A,CC0-1.0,26.0,website text,human volunteer,True
ssi,ssi,common_voice_scripted,transcribed,10.54,10.52,10200,21,A,CC0-1.0,26.0,website text,human volunteer,True
ssw,ss,common_voice_scripted,transcribed,0.27,0.0,131,3,A,CC0-1.0,26.0,website text,human volunteer,True
sun,su,common_voice_spontaneous,transcribed,0.03,0.03,207,2,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
sun,su,common_voice_spontaneous,untranscribed,0.59,,207,2,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
sva,sva,common_voice_scripted,transcribed,18.04,15.73,10970,57,A,CC0-1.0,26.0,website text,human volunteer,True
swa,sw,common_voice_scripted,transcribed,1064.6,392.2,730532,1523,A,CC0-1.0,26.0,website text,human volunteer,True
swb,swb,common_voice_spontaneous,transcribed,0.0,0.0,18,5,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
swb,swb,common_voice_spontaneous,untranscribed,0.33,,18,5,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
swe,sv-SE,common_voice_scripted,transcribed,56.18,47.73,50259,889,A,CC0-1.0,26.0,website text,human volunteer,True
szy,szy,common_voice_scripted,transcribed,14.45,13.72,9643,26,A,CC0-1.0,26.0,website text,human volunteer,True
tam,ta,common_voice_scripted,transcribed,425.33,234.79,247671,981,A,CC0-1.0,26.0,website text,human volunteer,True
tar,tar,common_voice_scripted,transcribed,10.01,9.97,7922,17,A,CC0-1.0,26.0,website text,human volunteer,True
tat,tt,common_voice_scripted,transcribed,33.44,32.48,31364,297,A,CC0-1.0,26.0,website text,human volunteer,True
tat,tt,common_voice_spontaneous,transcribed,0.0,0.0,14,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
tat,tt,common_voice_spontaneous,untranscribed,0.22,,14,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
tay,tay,common_voice_scripted,transcribed,12.38,11.47,8039,19,A,CC0-1.0,26.0,website text,human volunteer,True
tel,te,common_voice_scripted,transcribed,3.04,0.87,2598,67,A,CC0-1.0,26.0,website text,human volunteer,True
tgk,tg,common_voice_scripted,transcribed,0.95,0.8,680,10,A,CC0-1.0,26.0,website text,human volunteer,True
tha,th,common_voice_scripted,transcribed,427.0,173.32,366589,7994,A,CC0-1.0,26.0,website text,human volunteer,True
tha,th,common_voice_spontaneous,transcribed,0.0,0.0,41,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
tha,th,common_voice_spontaneous,untranscribed,0.08,,41,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
tig,tig,common_voice_scripted,transcribed,11.26,10.72,6777,152,A,CC0-1.0,26.0,website text,human volunteer,True
tir,ti,common_voice_scripted,transcribed,0.65,0.1,451,16,A,CC0-1.0,26.0,website text,human volunteer,True
tli,tli,common_voice_scripted,transcribed,9.92,9.92,2836,3,A,CC0-1.0,26.0,website text,human volunteer,True
tob,tob,common_voice_spontaneous,transcribed,9.67,9.67,1572,25,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
tob,tob,common_voice_spontaneous,untranscribed,0.33000000000000007,,1572,25,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
tok,tok,common_voice_scripted,transcribed,23.39,15.7,19542,176,A,CC0-1.0,26.0,website text,human volunteer,True
top,top,common_voice_spontaneous,transcribed,10.36,10.36,417,10,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
top,top,common_voice_spontaneous,untranscribed,0.14000000000000057,,417,10,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
trv,trv,common_voice_scripted,transcribed,10.11,9.95,6490,10,A,CC0-1.0,26.0,website text,human volunteer,True
trw,trw,common_voice_scripted,transcribed,18.55,16.49,12431,27,A,CC0-1.0,26.0,website text,human volunteer,True
tsn,tn,common_voice_scripted,transcribed,4.93,4.26,4059,18,A,CC0-1.0,26.0,website text,human volunteer,True
tso,ts,common_voice_scripted,transcribed,0.0,0.0,1,1,A,CC0-1.0,26.0,website text,human volunteer,True
ttj,ttj,common_voice_spontaneous,transcribed,10.03,10.03,3100,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
ttj,ttj,common_voice_spontaneous,untranscribed,6.74,,3100,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
tui,tui,common_voice_scripted,transcribed,11.03,9.75,8576,51,A,CC0-1.0,26.0,website text,human volunteer,True
tuk,tk,common_voice_scripted,transcribed,7.78,3.08,5087,150,A,CC0-1.0,26.0,website text,human volunteer,True
tuq,tuq,common_voice_spontaneous,transcribed,0.0,0.0,87,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
tuq,tuq,common_voice_spontaneous,untranscribed,0.69,,87,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
tur,tr,common_voice_scripted,transcribed,135.64,130.1,126723,1829,A,CC0-1.0,26.0,website text,human volunteer,True
tur,tr,common_voice_spontaneous,transcribed,0.19,0.19,52,12,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
tur,tr,common_voice_spontaneous,untranscribed,0.09000000000000002,,52,12,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
tvu,tvu,common_voice_scripted,transcribed,10.57,10.21,5434,13,A,CC0-1.0,26.0,website text,human volunteer,True
twi,tw,common_voice_scripted,transcribed,1.36,0.36,966,20,A,CC0-1.0,26.0,website text,human volunteer,True
udl,udl,common_voice_scripted,transcribed,9.66,9.51,6504,20,A,CC0-1.0,26.0,website text,human volunteer,True
uig,ug,common_voice_scripted,transcribed,504.92,460.48,306962,1852,A,CC0-1.0,26.0,website text,human volunteer,True
ukr,uk,common_voice_scripted,transcribed,118.46,102.96,91708,1177,A,CC0-1.0,26.0,website text,human volunteer,True
ukv,ukv,common_voice_spontaneous,transcribed,10.03,10.03,2570,22,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
ukv,ukv,common_voice_spontaneous,untranscribed,1.7599999999999998,,2570,22,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
urd,ur,common_voice_scripted,transcribed,294.7,79.74,250814,504,A,CC0-1.0,26.0,website text,human volunteer,True
ush,ush,common_voice_scripted,transcribed,6.76,6.59,3961,23,A,CC0-1.0,26.0,website text,human volunteer,True
ush,ush,common_voice_spontaneous,transcribed,4.94,4.94,664,10,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
ush,ush,common_voice_spontaneous,untranscribed,0.1299999999999999,,664,10,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
uzb,uz,common_voice_scripted,transcribed,266.0,101.18,230183,2309,A,CC0-1.0,26.0,website text,human volunteer,True
var,var,common_voice_scripted,transcribed,11.8,10.09,8006,12,A,CC0-1.0,26.0,website text,human volunteer,True
ven,ve,common_voice_scripted,transcribed,0.03,0.0,25,3,A,CC0-1.0,26.0,website text,human volunteer,True
vie,vi,common_voice_scripted,transcribed,22.96,7.8,20599,417,A,CC0-1.0,26.0,website text,human volunteer,True
vot,vot,common_voice_scripted,transcribed,0.28,0.06,427,6,A,CC0-1.0,26.0,website text,human volunteer,True
wbl,wbl,common_voice_scripted,transcribed,15.36,12.12,8192,14,A,CC0-1.0,26.0,website text,human volunteer,True
wes,wes,common_voice_scripted,transcribed,10.77,10.31,9417,18,A,CC0-1.0,26.0,website text,human volunteer,True
xhe,xhe,common_voice_scripted,transcribed,9.74,9.62,11572,11,A,CC0-1.0,26.0,website text,human volunteer,True
xho,xh,common_voice_scripted,transcribed,0.04,0.02,30,4,A,CC0-1.0,26.0,website text,human volunteer,True
xka,xka,common_voice_scripted,transcribed,10.38,9.83,11833,9,A,CC0-1.0,26.0,website text,human volunteer,True
xkl,xkl,common_voice_spontaneous,transcribed,1.44,1.44,1795,23,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
xkl,xkl,common_voice_spontaneous,untranscribed,8.97,,1795,23,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
xmf,xmf,common_voice_scripted,transcribed,12.69,11.58,7419,92,A,CC0-1.0,26.0,website text,human volunteer,True
yaq,yaq,common_voice_scripted,transcribed,11.46,10.21,7771,5,A,CC0-1.0,26.0,website text,human volunteer,True
yav,yav,common_voice_scripted,transcribed,10.16,8.64,5499,10,A,CC0-1.0,26.0,website text,human volunteer,True
ydg,ydg,common_voice_scripted,transcribed,11.47,10.64,11488,18,A,CC0-1.0,26.0,website text,human volunteer,True
yid,yi,common_voice_scripted,transcribed,2.23,2.13,2019,127,A,CC0-1.0,26.0,website text,human volunteer,True
yor,yo,common_voice_scripted,transcribed,8.26,5.89,4925,135,A,CC0-1.0,26.0,website text,human volunteer,True
yue,yue,common_voice_scripted,transcribed,307.41,210.7,279366,1183,A,CC0-1.0,26.0,website text,human volunteer,True
zgh,zgh,common_voice_scripted,transcribed,2.22,1.45,2229,51,A,CC0-1.0,26.0,website text,human volunteer,True
zho,zh-TW,common_voice_scripted,transcribed,131.52,79.83,140826,2331,A,CC0-1.0,26.0,website text,human volunteer,True
zho,zh-CN,common_voice_scripted,transcribed,1074.32,239.59,852010,7580,A,CC0-1.0,26.0,website text,human volunteer,True
zho,zh-HK,common_voice_scripted,transcribed,143.37,108.54,124369,3113,A,CC0-1.0,26.0,website text,human volunteer,True
zoc,zoc,common_voice_scripted,transcribed,10.14,10.07,8948,12,A,CC0-1.0,26.0,website text,human volunteer,True
zul,zu,common_voice_scripted,transcribed,0.31,0.04,203,8,A,CC0-1.0,26.0,website text,human volunteer,True
zza,zza,common_voice_scripted,transcribed,2.72,1.95,2434,26,A,CC0-1.0,26.0,website text,human volunteer,True
